Date/Time(America/Paramaribo);Water_level_diver(mm)
28-4-2024 22:00;365.5
28-4-2024 23:00;360.33
29-4-2024 00:00;360.25
29-4-2024 01:00;356.33
29-4-2024 02:00;361.67
29-4-2024 03:00;360.67
29-4-2024 04:00;362.5
29-4-2024 05:00;363.25
29-4-2024 06:00;373.75
29-4-2024 07:00;364.17
29-4-2024 08:00;364.92
29-4-2024 09:00;365.42
29-4-2024 10:00;362.33
29-4-2024 11:00;362.17
29-4-2024 12:00;362.67
29-4-2024 13:00;355.58
29-4-2024 14:00;354.67
29-4-2024 15:00;358.5
29-4-2024 16:00;355.08
29-4-2024 17:00;353.83
29-4-2024 18:00;359.42
29-4-2024 19:00;355.58
29-4-2024 20:00;355.33
29-4-2024 21:00;357.33
29-4-2024 22:00;357.58
29-4-2024 23:00;354.25
30-4-2024 00:00;350.83
30-4-2024 01:00;386.67
30-4-2024 02:00;407.58
30-4-2024 03:00;420.92
30-4-2024 04:00;425.58
30-4-2024 05:00;426.42
30-4-2024 06:00;428.67
30-4-2024 07:00;430.67
30-4-2024 08:00;429.17
30-4-2024 09:00;426.67
30-4-2024 10:00;424.25
30-4-2024 11:00;425.58
30-4-2024 12:00;421.83
30-4-2024 13:00;423.58
30-4-2024 14:00;420.08
30-4-2024 15:00;419.67
30-4-2024 16:00;416.75
30-4-2024 17:00;419.08
30-4-2024 18:00;416.75
30-4-2024 19:00;414.58
30-4-2024 20:00;419.17
30-4-2024 21:00;416.5
30-4-2024 22:00;418.17
30-4-2024 23:00;411.92
1-5-2024 00:00;414.08
1-5-2024 01:00;408.75
1-5-2024 02:00;410.92
1-5-2024 03:00;410.17
1-5-2024 04:00;411.42
1-5-2024 05:00;416.5
1-5-2024 06:00;415.5
1-5-2024 07:00;412.25
1-5-2024 08:00;410.5
1-5-2024 09:00;415.5
1-5-2024 10:00;411.92
1-5-2024 11:00;409.33
1-5-2024 12:00;408.75
1-5-2024 13:00;411
1-5-2024 14:00;406.75
1-5-2024 15:00;407.33
1-5-2024 16:00;409.67
1-5-2024 17:00;404.58
1-5-2024 18:00;406.42
1-5-2024 19:00;406.58
1-5-2024 20:00;408.75
1-5-2024 21:00;408.08
1-5-2024 22:00;408.17
1-5-2024 23:00;407.25
2-5-2024 00:00;400.83
2-5-2024 01:00;403.08
2-5-2024 02:00;401.17
2-5-2024 03:00;400.58
2-5-2024 04:00;404.92
2-5-2024 05:00;405.5
2-5-2024 06:00;404.83
2-5-2024 07:00;404.75
2-5-2024 08:00;405.42
2-5-2024 09:00;401.08
2-5-2024 10:00;410.92
2-5-2024 11:00;420.83
2-5-2024 12:00;410.08
2-5-2024 13:00;413.67
2-5-2024 14:00;442.42
2-5-2024 15:00;443.17
2-5-2024 16:00;446
2-5-2024 17:00;442.17
2-5-2024 18:00;447.17
2-5-2024 19:00;443.58
2-5-2024 20:00;452.75
2-5-2024 21:00;450.67
2-5-2024 22:00;452.08
2-5-2024 23:00;452.92
3-5-2024 00:00;448.42
3-5-2024 01:00;453.83
3-5-2024 02:00;445.17
3-5-2024 03:00;449.58
3-5-2024 04:00;452.33
3-5-2024 05:00;450.17
3-5-2024 06:00;454.42
3-5-2024 07:00;454.42
3-5-2024 08:00;446.42
3-5-2024 09:00;444.92
3-5-2024 10:00;449.42
3-5-2024 11:00;446.5
3-5-2024 12:00;440.83
3-5-2024 13:00;439.92
3-5-2024 14:00;447.33
3-5-2024 15:00;444.42
3-5-2024 16:00;441.92
3-5-2024 17:00;443.92
3-5-2024 18:00;445.33
3-5-2024 19:00;442.42
3-5-2024 20:00;441.5
3-5-2024 21:00;443.17
3-5-2024 22:00;443.17
3-5-2024 23:00;443.92
4-5-2024 00:00;442.83
4-5-2024 01:00;441.92
4-5-2024 02:00;448.58
4-5-2024 03:00;452.25
4-5-2024 04:00;455.17
4-5-2024 05:00;457
4-5-2024 06:00;456.92
4-5-2024 07:00;459.67
4-5-2024 08:00;455.33
4-5-2024 09:00;456.92
4-5-2024 10:00;454.67
4-5-2024 11:00;451.33
4-5-2024 12:00;449.75
4-5-2024 13:00;447.25
4-5-2024 14:00;446.5
4-5-2024 15:00;451.25
4-5-2024 16:00;457.83
4-5-2024 17:00;452.67
4-5-2024 18:00;452.17
4-5-2024 19:00;449.83
4-5-2024 20:00;446.92
4-5-2024 21:00;447.67
4-5-2024 22:00;446.17
4-5-2024 23:00;444.08
5-5-2024 00:00;443.33
5-5-2024 01:00;442.42
5-5-2024 02:00;442.33
5-5-2024 03:00;439.42
5-5-2024 04:00;448.92
5-5-2024 05:00;446.58
5-5-2024 06:00;446.75
5-5-2024 07:00;443.42
5-5-2024 08:00;448.33
5-5-2024 09:00;452.17
5-5-2024 10:00;447.42
5-5-2024 11:00;446.17
5-5-2024 12:00;441.25
5-5-2024 13:00;449.83
5-5-2024 14:00;451.92
5-5-2024 15:00;457.25
5-5-2024 16:00;458.75
5-5-2024 17:00;457.92
5-5-2024 18:00;457.08
5-5-2024 19:00;462.83
5-5-2024 20:00;457.08
5-5-2024 21:00;461.25
5-5-2024 22:00;456.92
5-5-2024 23:00;457.58
6-5-2024 00:00;460.67
6-5-2024 01:00;457.33
6-5-2024 02:00;454
6-5-2024 03:00;454.42
6-5-2024 04:00;462.58
6-5-2024 05:00;458.08
6-5-2024 06:00;456.33
6-5-2024 07:00;461.25
6-5-2024 08:00;461.08
6-5-2024 09:00;455.33
6-5-2024 10:00;450.67
6-5-2024 11:00;453.5
6-5-2024 12:00;448.5
6-5-2024 13:00;449.25
6-5-2024 14:00;448.5
6-5-2024 15:00;445.75
6-5-2024 16:00;448.92
6-5-2024 17:00;448.92
6-5-2024 18:00;446.67
6-5-2024 19:00;449.42
6-5-2024 20:00;445.83
6-5-2024 21:00;453
6-5-2024 22:00;446.58
6-5-2024 23:00;444.42
7-5-2024 00:00;441.42
7-5-2024 01:00;443.5
7-5-2024 02:00;438.58
7-5-2024 03:00;446.92
7-5-2024 04:00;442.33
7-5-2024 05:00;456.83
7-5-2024 06:00;453.08
7-5-2024 07:00;455.92
7-5-2024 08:00;457.17
7-5-2024 09:00;455
7-5-2024 10:00;451.17
7-5-2024 11:00;457.33
7-5-2024 12:00;450.17
7-5-2024 13:00;451.33
7-5-2024 14:00;459.5
7-5-2024 15:00;464.25
7-5-2024 16:00;467.17
7-5-2024 17:00;468.83
7-5-2024 18:00;471.92
7-5-2024 19:00;473.92
7-5-2024 20:00;471.17
7-5-2024 21:00;476.33
7-5-2024 22:00;473.83
7-5-2024 23:00;477.92
8-5-2024 00:00;470.58
8-5-2024 01:00;469.17
8-5-2024 02:00;467.83
8-5-2024 03:00;469.33
8-5-2024 04:00;472.33
8-5-2024 05:00;467.08
8-5-2024 06:00;466.67
8-5-2024 07:00;467.08
8-5-2024 08:00;469.83
8-5-2024 09:00;467
8-5-2024 10:00;462.75
8-5-2024 11:00;463.92
8-5-2024 12:00;460.75
8-5-2024 13:00;456.67
8-5-2024 14:00;459.17
8-5-2024 15:00;454.83
8-5-2024 16:00;458.42
8-5-2024 17:00;457.17
8-5-2024 18:00;458.5
8-5-2024 19:00;456.58
8-5-2024 20:00;458.42
8-5-2024 21:00;457.08
8-5-2024 22:00;453.42
8-5-2024 23:00;452.83
9-5-2024 00:00;455.42
9-5-2024 01:00;452.42
9-5-2024 02:00;452.92
9-5-2024 03:00;481.25
9-5-2024 04:00;497.75
9-5-2024 05:00;500.67
9-5-2024 06:00;496.92
9-5-2024 07:00;494.92
9-5-2024 08:00;489.25
9-5-2024 09:00;483.25
9-5-2024 10:00;485.08
9-5-2024 11:00;480.42
9-5-2024 12:00;477
9-5-2024 13:00;477.42
9-5-2024 14:00;470.25
9-5-2024 15:00;469.33
9-5-2024 16:00;472
9-5-2024 17:00;471.33
9-5-2024 18:00;474.58
9-5-2024 19:00;473.33
9-5-2024 20:00;467.58
9-5-2024 21:00;467.42
9-5-2024 22:00;466.33
9-5-2024 23:00;464.58
10-5-2024 00:00;465.83
10-5-2024 01:00;464.25
10-5-2024 02:00;461.92
10-5-2024 03:00;464.75
10-5-2024 04:00;462.75
10-5-2024 05:00;461.67
10-5-2024 06:00;463.17
10-5-2024 07:00;466.92
10-5-2024 08:00;465.5
10-5-2024 09:00;461.17
10-5-2024 10:00;464
10-5-2024 11:00;462.5
10-5-2024 12:00;462.67
10-5-2024 13:00;459
10-5-2024 14:00;459.83
10-5-2024 15:00;458.25
10-5-2024 16:00;461.33
10-5-2024 17:00;465.83
10-5-2024 18:00;475.75
10-5-2024 19:00;476.33
10-5-2024 20:00;471
10-5-2024 21:00;476.67
10-5-2024 22:00;475.92
10-5-2024 23:00;470.58
11-5-2024 00:00;471.25
11-5-2024 01:00;471.08
11-5-2024 02:00;469.25
11-5-2024 03:00;467.25
11-5-2024 04:00;466.25
11-5-2024 05:00;470
11-5-2024 06:00;468
11-5-2024 07:00;472.75
11-5-2024 08:00;464.5
11-5-2024 09:00;468.67
11-5-2024 10:00;466.08
11-5-2024 11:00;463.83
11-5-2024 12:00;483.92
11-5-2024 13:00;480.17
11-5-2024 14:00;475.42
11-5-2024 15:00;480.17
11-5-2024 16:00;483.33
11-5-2024 17:00;485.92
11-5-2024 18:00;486.08
11-5-2024 19:00;485.58
11-5-2024 20:00;483.17
11-5-2024 21:00;483.75
11-5-2024 22:00;482.92
11-5-2024 23:00;481.67
12-5-2024 00:00;480.17
12-5-2024 01:00;474.83
12-5-2024 02:00;474.33
12-5-2024 03:00;475.33
12-5-2024 04:00;475.67
12-5-2024 05:00;474
12-5-2024 06:00;471.33
12-5-2024 07:00;471.92
12-5-2024 08:00;472.42
12-5-2024 09:00;474
12-5-2024 10:00;473.42
12-5-2024 11:00;471.5
12-5-2024 12:00;465.58
12-5-2024 13:00;463.58
12-5-2024 14:00;461.58
12-5-2024 15:00;460.58
12-5-2024 16:00;460.92
12-5-2024 17:00;462.33
12-5-2024 18:00;462.42
12-5-2024 19:00;461.08
12-5-2024 20:00;465.5
12-5-2024 21:00;464.83
12-5-2024 22:00;457.42
12-5-2024 23:00;458.92
13-5-2024 00:00;459.17
13-5-2024 01:00;454.67
13-5-2024 02:00;456.75
13-5-2024 03:00;458
13-5-2024 04:00;457.08
13-5-2024 05:00;460.42
13-5-2024 06:00;459.25
13-5-2024 07:00;458.17
13-5-2024 08:00;461.92
13-5-2024 09:00;461.58
13-5-2024 10:00;461.25
13-5-2024 11:00;457.5
13-5-2024 12:00;453.42
13-5-2024 13:00;475.75
13-5-2024 14:00;456
13-5-2024 15:00;479.17
13-5-2024 16:00;502.17
13-5-2024 17:00;525.83
13-5-2024 18:00;512.67
13-5-2024 19:00;503.17
13-5-2024 20:00;500.33
13-5-2024 21:00;497.92
13-5-2024 22:00;493.92
13-5-2024 23:00;488.67
14-5-2024 00:00;491
