Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 29/05/2024
TIME       : 11:54:59
FILENAME   : C:\Users\User\AppData\Roaming\DiverOffice\Makandra project\CSV\VEI_EX651_240529115459_EX651.CSV
CREATED BY : Diver-Office 12.0.3.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =..00-EX651  219.
  Instrument number       =          UTC-3     
                          =0
  Location                =VEI_EX651
  Sample period           =H01
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =..00-EX651  219.
  Instrument number       =          UTC-3     
  Location                =VEI_EX651
  Sample period           =00 01:00:00 0
  Sample method           =T   
  Start date / time       =19:16:18 11/04/24
  End date / time         =19:16:11 29/05/24
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Druk[cmH2O],Temperatuur[°C]
2024/04/25 09:16:19,1155.650,27.430
2024/04/25 10:16:19,1155.767,27.460
2024/04/25 11:16:19,1155.358,27.430
2024/04/25 12:16:19,1154.775,27.477
2024/04/25 13:16:19,1153.667,27.500
2024/04/25 14:16:19,1152.500,27.577
2024/04/25 15:16:19,1151.392,27.583
2024/04/25 16:16:19,1150.925,27.593
2024/04/25 17:16:19,1149.933,27.617
2024/04/25 18:16:19,1150.517,27.653
2024/04/25 19:16:19,1150.633,27.680
2024/04/25 20:16:19,1151.217,27.727
2024/04/25 21:16:19,1152.092,27.733
2024/04/25 22:16:19,1152.500,27.787
2024/04/25 23:16:19,1152.208,27.820
2024/04/26 00:16:19,1151.508,27.803
2024/04/26 01:16:19,1151.217,27.867
2024/04/26 02:16:19,1150.400,27.867
2024/04/26 03:16:19,1149.933,27.867
2024/04/26 04:16:19,1149.642,27.833
2024/04/26 05:16:19,1150.400,27.740
2024/04/26 06:16:19,1150.517,27.680
2024/04/26 07:16:19,1150.925,27.583
2024/04/26 08:16:19,1151.508,27.623
2024/04/26 09:16:19,1151.683,27.593
2024/04/26 10:16:19,1152.500,27.617
2024/04/26 11:16:19,1152.092,27.640
2024/04/26 12:16:19,1151.392,27.663
2024/04/26 13:16:19,1150.808,27.670
2024/04/26 14:16:19,1149.817,27.710
2024/04/26 15:16:19,1149.525,27.757
2024/04/26 16:16:19,1148.942,27.757
2024/04/26 17:16:19,1148.825,27.773
2024/04/26 18:16:19,1149.117,27.803
2024/04/26 19:16:19,1149.642,27.850
2024/04/26 20:16:19,1149.933,27.857
2024/04/26 21:16:19,1149.817,27.897
2024/04/26 22:16:19,1150.225,27.930
2024/04/26 23:16:19,1150.108,27.903
2024/04/27 00:16:19,1149.233,27.930
2024/04/27 01:16:19,1148.242,27.953
2024/04/27 02:16:19,1148.417,27.897
2024/04/27 03:16:19,1148.242,27.857
2024/04/27 04:16:19,1148.650,27.780
2024/04/27 05:16:19,1148.533,27.733
2024/04/27 06:16:19,1149.117,27.703
2024/04/27 07:16:19,1149.933,27.630
2024/04/27 08:16:19,1150.400,27.623
2024/04/27 09:16:19,1150.925,27.600
2024/04/27 10:16:19,1151.100,27.607
2024/04/27 11:16:19,1150.925,27.607
2024/04/27 12:16:19,1150.517,27.710
2024/04/27 13:16:19,1149.117,27.733
2024/04/27 14:16:19,1147.542,27.740
2024/04/27 15:16:19,1148.242,27.780
2024/04/27 16:16:19,1147.542,27.820
2024/04/27 17:16:19,1147.133,27.833
2024/04/27 18:16:19,1147.542,27.873
2024/04/27 19:16:19,1147.658,27.873
2024/04/27 20:16:19,1148.242,27.920
2024/04/27 21:16:19,1148.825,27.920
2024/04/27 22:16:19,1149.408,27.960
2024/04/27 23:16:19,1149.408,27.960
2024/04/28 00:16:19,1149.233,27.983
2024/04/28 01:16:19,1148.533,28.023
2024/04/28 02:16:19,1147.950,28.023
2024/04/28 03:16:19,1147.833,28.030
2024/04/28 04:16:19,1147.542,27.953
2024/04/28 05:16:19,1147.833,27.873
2024/04/28 06:16:19,1148.242,27.827
2024/04/28 07:16:19,1148.417,27.787
2024/04/28 08:16:19,1148.650,27.733
2024/04/28 09:16:19,1149.233,27.733
2024/04/28 10:16:19,1149.233,27.763
2024/04/28 11:16:19,1149.233,27.827
2024/04/28 12:16:19,1148.942,27.833
2024/04/28 13:16:19,1148.242,27.867
2024/04/28 14:16:19,1146.667,27.890
2024/04/28 15:16:19,1145.558,27.913
2024/04/28 16:16:19,1145.383,27.960
2024/04/28 17:16:19,1145.383,27.990
2024/04/28 18:16:19,1146.142,28.013
2024/04/28 19:16:19,1146.842,28.047
2024/04/28 20:16:19,1147.542,28.077
2024/04/28 21:16:19,1147.542,28.083
2024/04/28 22:16:19,1148.125,28.093
2024/04/28 23:16:19,1148.533,28.147
2024/04/29 00:16:19,1148.650,28.153
2024/04/29 01:16:19,1147.833,28.187
2024/04/29 02:16:19,1147.367,28.193
2024/04/29 03:16:19,1146.842,28.240
2024/04/29 04:16:19,1147.250,28.217
2024/04/29 05:16:19,1147.950,28.153
2024/04/29 06:16:19,1148.650,28.070
2024/04/29 07:16:19,1148.417,28.007
2024/04/29 08:16:19,1149.117,27.983
2024/04/29 09:16:19,1149.817,27.930
2024/04/29 10:16:19,1149.933,27.990
2024/04/29 11:16:19,1149.642,27.990
2024/04/29 12:16:19,1149.117,28.023
2024/04/29 13:16:19,1147.833,28.047
2024/04/29 14:16:19,1146.667,28.093
2024/04/29 15:16:19,1146.550,28.123
2024/04/29 16:16:19,1145.558,28.147
2024/04/29 17:16:19,1145.383,28.180
2024/04/29 18:16:19,1146.142,28.180
2024/04/29 19:16:19,1146.258,28.187
2024/04/29 20:16:19,1146.958,28.210
2024/04/29 21:16:19,1147.658,28.227
2024/04/29 22:16:19,1148.533,28.227
2024/04/29 23:16:19,1148.125,28.273
2024/04/30 00:16:19,1147.658,28.273
2024/04/30 01:16:19,1150.517,28.367
2024/04/30 02:16:19,1152.383,28.320
2024/04/30 03:16:19,1152.792,28.147
2024/04/30 04:16:19,1152.908,28.140
2024/04/30 05:16:19,1153.492,28.117
2024/04/30 06:16:19,1154.367,28.187
2024/04/30 07:16:19,1155.067,27.920
2024/04/30 08:16:19,1155.767,27.857
