date,P_atm,Ref.grass,E_pot_OW
29-03-1990 00:00,5.472231676,2.8876880483,3.2149723982
30-03-1990 00:00,4.084646776,2.6582945894,2.9595798535
31-03-1990 00:00,2.0888819942,3.295726815,3.669257262
01-04-1990 00:00,3.2982826157000003,3.4006054391,3.7860226616
02-04-1990 00:00,5.619384459699999,3.1714312103,3.5308742868
03-04-1990 00:00,5.2296555564,2.7707616041,3.0847937233
04-04-1990 00:00,3.9340331294,3.7631752707,4.1896853647
05-04-1990 00:00,2.4705566431,3.7472349738,4.1719384465000005
06-04-1990 00:00,1.6474239526,4.051315357,4.5104825393
07-04-1990 00:00,1.4359019684,4.258995145,4.7417003088
08-04-1990 00:00,4.2122378381,3.6971369253999997,4.1161623886
09-04-1990 00:00,4.3122619906,3.6820990795,4.09942015
10-04-1990 00:00,19.1952997115,3.1621189079,3.5205065836
